name,ean,price,in_stock
Metro Chef Milanese Smoked Sausage Top Grade 320g,04823036504092,96.90,true
Alan Nevskyi Sausages Boiled 1st Grade,metro28298300000000,184.90,true
Globino Myslyvsʹka boiled-smoked pork sausage 460g,04820112651206,53.90,true
Globino Banqueting semi-smoked salami sausage 460g,04820112651282,49.90,true
Globino Finska semi-smoked pork sausage 460g,04820112651251,49.90,true
Globino Starokyyivsʹka raw smoked sausage 270g,04820112650766,63.90,true
Lavr Yeherski Sausages Semi-smoked from Organic Materials 250g,04820207700604,72.90,true
Lavr Beef Semi-smoked Sausage from Organic Materials 250g,04820207700666,69.90,true
Meat Guild Sausage Servelat cooked smoked 450g,04823079001817,94.90,true
Myasna Gildiya President Raw-Smoked Sausage 340g,04823079002043,74.90,true
Myasna gildiya Bavarsʹka semi-smoked sausage 450g,04823079002500,63.90,true
Rancho Doctorskaya Sausage first grade,metro28151500000000,86.90,true
Rancho Na drovakh beef semi-smoked Sausage 400g,04823079001954,47.90,true
Rancho raw smoked poultry sausage 340g,04823079002159,74.90,true
Yuvileyniy Cervelat smoked-boiled sausage 330g,04823022605314,89.90,true
Harmash grand-fillet raw cured sausage 320g,04820084980137,109.90,true
Harmash Moscowska raw smoked sausage 320g,04820084980120,80.90,true
Myasnyashki Sausage boiled first grade,metro28152800000000,123.90,true
Doctorskaya Sausage first grade,metro28152700000000,124.90,true
Tuc with sausages salt cracker 100g,07622210707727,14.90,true
Yatran chilled beef sausage,metro28102600000000,93.50,true
Firmova Sausage Boiled,metro28292400000000,180.90,true
Biovela Yuvileyna Sausage Raw Premium 200g,04770081165566,141.90,true
Biovela Bernu Raw-Cured Sausage 200g,04770081165542,133.90,true
Elpozo Fuet Spanish extra raw-cured sausage 170g,08410843003984,99.90,true
Elpozo Chorizo Pikant raw-cured mold sausage 200g,08410843116578,82.50,true
Elpozo Chorizo Doux mild raw-cured sausage 200g,08410843116561,82.50,true
Elpozo Chorizo Fort extra Pikant raw-cured mold sausage 200g,08410843116585,82.50,true
Elpozo Fuet Raw-Cured Sausage 170g,08410843079613,99.90,true
Elpozo Fuet Casero raw-cured turkey with white mold sausage 150g,08410843102526,79.90,true
Count: 30
Updated on Thu Nov 26 19:30:30 2020
