name,ean,price,in_stock
Cottage cheese President Cottage cheese tradition 9% 250g,4823065706535,46.19,true
Still natural mineral water Evian 1000ml,3068320080000,907.88,true
Metro Chef Cottage Cheese 10% 5kg,4820044753795,403.11,true
NESCAFÉ® Gold instant coffee 120g,7613035524811,580.04,true
Buvette Vital non-carbonated water 1500ml,4820115400467,910.94,true
"Still natural mineral water Evian 033l",3068320063003,687.27,true
L`or Espresso Forza in grains coffee 500g,8711000324141,293.16,true
President Cottage Cheese 9% 1kg,4823065715261,64.43,true
"Sheridan's Liquor 05l",5011013500703,55.87,true
Lavr Yeherski Sausages Semi-smoked from Organic Materials 250g,4820207700604,762.44,true
Rancho raw smoked poultry sausage 340g,4823079002159,262.59,true
"Buvette juice drink with kiwi and cucumber 05l",4820115401976,805.12,true
Cottage cheese President airy 0% 100g,4823065704708,504.52,true
Elpozo Fuet Spanish extra raw-cured sausage 170g,8410843003984,151.94,true
Premialle Grainy Cottage Cheese 7% 150g,4820198090043,777.31,true
Globino Finska semi-smoked pork sausage 460g,4820112651251,399.97,true
Tchibo Family ground coffee 250g,4046234928426,608.44,true
Elpozo Fuet Raw-Cured Sausage 170g,8410843079613,840.67,true
Aqua Life Still water 5l,4820000431569,841.71,true
Acqua Panna Non-carbonated Mineral Water 250ml,8000815004592,767.26,true
Rancho Doctorskaya Sausage first grade,metro28151500000000,496.79,true
Vittel non-carbonated water 330ml,3179732340184,707.37,true
Elpozo Chorizo Pikant raw-cured mold sausage 200g,8410843116578,427.31,true
Alan Nevskyi Sausages Boiled 1st Grade,metro28298300000000,600.7,true
Jacobs Barista Editions Classic ground coffee 225g,8714599103821,924.52,true
Paulig Classic Natural Ground Medium Roasted Coffee  250g,6411300158102,631.33,true
Firmova Sausage Boiled,metro28292400000000,858.72,true
Tchibo Family in grains coffee 1000g,5997338170718,380.58,true
Biovela Yuvileyna Sausage Raw Premium 200g,4770081165566,440.68,true
"Buvette juice drink with the grapefruit and rosemary 05l",4820115401952,274.1,true
Zlagoda cottage cheese 5% 300g,4820005428274,880.41,true
Elpozo Chorizo Fort extra Pikant raw-cured mold sausage 200g,8410843116585,590.15,true
Premialle Apricot-Honey Cottage Cheese 150g,4820198090036,574.35,true
"Still natural mineral water Evian 15l",3068320085005,678.45,true
Doctorskaya Sausage first grade,metro28152700000000,580.6,true
Organic milk Organic cottage cheese 0.2% 300g,4820178810074,908.19,true
"Evian Still natural mineral water 05l",3068320055008,715.94,true
"Buvette juice drink with black currant and mint 05l",4820115401914,781.36,true
San Benedetto Mineral water non-carbonated 500ml,8001620003701,769.06,true
"Agusha Cottage cheese raspberry-black currant-dog rose 39% 100g",4823061322371,934.66,true
Premialle Grainy Cottage Cheese 7% 300g,4820198090685,795.11,true
Globino Myslyvsʹka boiled-smoked pork sausage 460g,4820112651206,651.92,true
Harmash Moscowska raw smoked sausage 320g,4820084980120,605.1,true
Organic milk cottage cheese 5% 300g,4820178810647,730.12,true
"Buvette Vital Mineral water non-carbonated 075l",4820115402331,883.01,true
Kimbo Espresso Napoletano whole beans coffee 1kg,8002200101688,336.56,true
"Buvette juice drink with aloe vera apricot and figs 05l",4820115401938,213.44,true
Brain food Book,9786177682249,935.56,true
"Cottage cheese President Cottage cheese tradition 02% 250g",4823065706788,86.59,true
"Rioba Costa Rica Coffee Сapsules 55gx11pcs",4337182344582,699.11,true
Vittel non-carbonated water 500ml,3179732325136,786.33,true
Buvette Minions non-carbonated water 500ml,4820115401730,826.06,true
Still mineral water San Benedetto 2l,8001620002278,373.15,true
Carte Noire Classic ground coffee 250g,8714599522035,277.19,true
Metro Chef sour milk cottage cheese 9% 900g,4823065716596,499.87,true
Elpozo Fuet Casero raw-cured turkey with white mold sausage 150g,8410843102526,51.45,true
Zlagoda Baby Cottage Cheese 4.5% 90g,4820202530695,753.53,true
Metro Chef Cottage Cheese 5% 5kg,4820044753801,331.58,true
Myasnyashki Sausage boiled first grade,metro28152800000000,14.71,true
Yatran chilled beef sausage,metro28102600000000,496.96,true
Zlahoda Dytyachyy Curd dessert Mango-strawberry 13.5% 90g,4820202531876,796.93,true
Smachno Shef Ultrapasteurized Creamer for Tea and Coffee 10% 500g,4820003487457,423.44,true
Elpozo Chorizo Doux mild raw-cured sausage 200g,8410843116561,433.11,true
Still water Bon Aqua plastic bottle 1l,5449000066985,299.91,true
NESCAFÉ® Classic Black Roast Instant Granular Coffee 55g,7613039266113,459.67,true
Globino Starokyyivsʹka raw smoked sausage 270g,4820112650766,749.75,true
Myasna Gildiya President Raw-Smoked Sausage 340g,4823079002043,5.45,true
Acqua Panna Non-carbonated Mineral Water 1l,8000815485261,602.22,true
SVITOCH® Stozhary Coffee flavour and Cognac boxed chocolates 232g,7613036434492,127.88,true
Ambassador Blue Label instant coffee 400g,8719325224184,192.65,true
"Still natural mineral water Bon Aqua 05l",metro00000040822426,317.47,true
Agusha Classic For Babies From 6 Months Cottage Cheese 4.5% 100g,4823061311580,894.3,true
Tuc with sausages salt cracker 100g,7622210707727,468.36,true
Bon Aqua mineral non-carbonated water 500ml,5449000084262,677.65,true
SVITOCH® Lviv Truffle Coffee taste sharing sweets,metro28813900000000,433.56,true
Globino Banqueting semi-smoked salami sausage 460g,4820112651282,167.11,true
San Benedetto non-carbonated mineral water 500ml,8001620001301,167.15,true
Metro Chef Cottage cheese 5% 900g,4823065723198,178.01,true
Organic milk Organic cottage cheese 9% 300g,4820178810081,60.52,true
President Tvorozhna tradytsiya cottage cheese 5% 350g,4823065722757,543.63,true
Yuvileyniy Cervelat smoked-boiled sausage 330g,4823022605314,248.6,true
"Vittel Mineral Non-Carbonated Water 15l",3048431002658,879.1,true
Paulig Guatemala Coffee Natural Fried Ground 500g,6411300173327,915.8,true
President Tvorozhna tradytsiya cottage cheese 0.2% 350g,4823065722733,548.11,true
Metro Chef sour milk cottage cheese 0% 900g,4823065721392,602.8,true
President Tvorozhna tradytsiya cottage cheese 9% 350g,4823065722771,846.5,true
"Rioba Kenya Coffee Сapsules 55gx11pcs",4337182344469,237.14,true
