name,ean,price,in_stock
Metro Chef Milanese Smoked Sausage Top Grade 320g,4823036504092,96.9,true
"Alan Nevskyi Sausages Boiled 1st Grade",metro28298300000000,184.9,true
Globino Myslyvsʹka boiled-smoked pork sausage 460g,4820112651206,53.9,true
Globino Banqueting semi-smoked salami sausage 460g,4820112651282,49.9,true
Globino Finska semi-smoked pork sausage 460g,4820112651251,49.9,true
Globino Starokyyivsʹka raw smoked sausage 270g,4820112650766,63.9,true
Lavr Yeherski Sausages Semi-smoked from Organic Materials 250g,4820207700604,72.9,true
Lavr Beef Semi-smoked Sausage from Organic Materials 250g,4820207700666,69.9,true
Meat Guild Sausage Servelat cooked smoked 450g,4823079001817,94.9,true
Myasna Gildiya President Raw-Smoked Sausage 340g,4823079002043,74.9,true
Myasna gildiya Bavarsʹka semi-smoked sausage 450g,4823079002500,63.9,true
Rancho Doctorskaya Sausage first grade,metro28151500000000,86.9,true
Rancho Na drovakh beef semi-smoked Sausage 400g,4823079001954,47.9,true
Rancho raw smoked poultry sausage 340g,4823079002159,74.9,true
Yuvileyniy Cervelat smoked-boiled sausage 330g,4823022605314,89.9,true
Harmash grand-fillet raw cured sausage 320g,4820084980137,109.9,true
Harmash Moscowska raw smoked sausage 320g,4820084980120,80.9,true
Myasnyashki Sausage boiled first grade,metro28152800000000,123.9,true
Doctorskaya Sausage first grade,metro28152700000000,124.9,true
Tuc with sausages salt cracker 100g,7622210707727,14.9,true
Yatran chilled beef sausage,metro28102600000000,93.5,true
Firmova Sausage Boiled,metro28292400000000,180.9,true
Biovela Yuvileyna Sausage Raw Premium 200g,4770081165566,141.9,true
Biovela Bernu Raw-Cured Sausage 200g,4770081165542,133.9,true
Elpozo Fuet Spanish extra raw-cured sausage 170g,8410843003984,99.9,true
Elpozo Chorizo Pikant raw-cured mold sausage 200g,8410843116578,82.5,true
Elpozo Chorizo Doux mild raw-cured sausage 200g,8410843116561,82.5,true
Elpozo Chorizo Fort extra Pikant raw-cured mold sausage 200g,8410843116585,82.5,true
Elpozo Fuet Raw-Cured Sausage 170g,8410843079613,99.9,true
Elpozo Fuet Casero raw-cured turkey with white mold sausage 150g,8410843102526,79.9,true
Count: 30,,,
